Year,GDP,All Students,Undergrads&Grads,High School Students,Junior School Students,Primary School Students,Special Students,All schools,Graduate&Undergraduate Schools,High Schools,Junior Schools,Primary Schools,Special Schools,All Teachers,Graduate&Undergraduate Teachers,High School Teachers,Junior School Teachers,Primary School Teachers,Special School Teachers
2021,1143669.7,701773087 ,38293680,26050291,528710000,107799349,919767,226779,2756,14585,52871,154279,2288,14535064,1865450,2028341,3971121,6600799,69353
2020,1013567,697121407 ,35992546,24944529,528050000,107253532,880800,230001,2738,14235,52805,157979,2244,14127298,1832982,1933228,3860741,6434178,66169
2019,986515.2,687878994 ,33178974,24143050,524150000,105612358,794612,231407,2688,13964,52415,160148,2192,13678258,1740145,1859242,3747429,6269084,62358
2018,919281.1,678674257 ,31041257,23754000,519820000,103393000,666000,232345,2663,13737,51982,161811,2152,13276000,1673000,1813000,3639000,6092000,59000
2017,832035.9,674376561 ,30175561,23745000,518940000,100937000,579000,237196,2631,13555,51894,167009,2107,12957000,1633000,1774000,3549000,5945000,56000
2016,746395.1,667987051 ,28939051,23666000,515760000,99130000,492000,247810,2596,13383,52118,177633,2080,12665000,1602000,1733000,3488000,5789000,53000
2015,688858.2,662150381 ,28164406,23466975,513155000,96922000,442000,260783,2560,13240,52405,190525,2053,12479000,1573000,1695000,3476000,5685000,50000
2014,643563.1,656103649 ,27324689,23322960,510550000,94511000,395000,271782,2529,13253,52623,201377,2000,12368000,1535000,1663000,3488000,5634000,48000
2013,592963.2,651571898 ,26474953,23178945,507945000,93605000,368000,284109,2491,13352,52804,213529,1933,12238000,1497000,1629000,3481000,5585000,46000
2012,538580,645584848 ,25632818,23034930,505340000,91236100,341000,299605,2442,13509,53216,228585,1853,12168476,1440000,1595000,3504000,5585476,44000
2011,487940.2,639978560 ,24730845,22890915,502735000,89307800,314000,313230,2409,13688,54117,241249,1767,12120517,1393000,1557000,3524517,5605000,41000
2010,412119.3,634399816 ,23856416,22746900,500130000,87379500,287000,330422,2358,14058,54890,257410,1706,12043000,1343000,1518000,3525000,5617000,40000
2009,348517.7,628691027 ,22851942,22602885,497525000,85451200,260000,355088,2305,14607,56320,280184,1672,11977000,1295000,1493000,3518000,5633000,38000
2008,319244.6,622627816 ,21493046,22458870,494920000,83522900,233000,377877,2263,15206,57914,300854,1640,11847451,1237451,1476000,3476000,5622000,36000
2007,270092.3,616474502 ,20044047,22314855,492315000,81594600,206000,398652,1908,15681,59384,320061,1618,11732000,1168000,1443000,3473000,5613000,35000
2006,219438.5,610218793 ,18492653,22170840,489710000,79666300,179000,422149,1867,16153,60885,341639,1605,11559000,1076000,1387000,3475000,5588000,33000
2005,187318.9,603618435 ,16596610,22026825,487105000,77738000,152000,448176,1792,16092,62486,366213,1593,11381913,966000,1299460,3492000,5592453,32000
2004,161840.2,596472406 ,14154896,21882810,484500000,75809700,125000,477229,1731,15998,63757,394183,1560,11209464,858000,1191000,3500464,5629000,31000
2003,137422,587259660 ,11737260,19648000,481895000,73881400,98000,509458,1552,15779,64730,425846,1551,11027000,725000,1071000,3498000,5703000,30000
2002,121717.4,577687080 ,9534980,16838000,479290000,71953100,71000,540890,1396,15406,65645,456903,1540,10841000,618000,946000,3468000,5779000,30000
